title,pdf,arxiv,keywords,conference_day
Unleashing Vision-Language Semantics for Deepfake Video Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhu_Unleashing_Vision-Language_Semantics_for_Deepfake_Video_Detection_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.24454,Deepfake Video Detection; Vision-Language Models; CLIP; cross-modal semantics; VLAForge; ForgePerceiver; forgery cues; Vision-Language Alignment; Identity-Aware VLA score; identity prior-informed text prompting,2026-06-07
Uni-Hema: Unified Model for Digital Hematopathology,https://openaccess.thecvf.com/content/CVPR2026/papers/Rehman_Uni-Hema_Unified_Model_for_Digital_Hematopathology_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.13889,digital hematopathology; multi-task unified model; multi-modal reasoning; cell-level analysis; hematological disease classification; cell detection; cell segmentation; morphology prediction; visual question answering; Hema-Former,2026-06-07
Breaking the Continuum: Discrete Distribution Learning for Structural MRI Reconstruction,https://openaccess.thecvf.com/content/CVPR2026/papers/Lyu_Breaking_the_Continuum_Discrete_Distribution_Learning_for_Structural_MRI_Reconstruction_CVPR_2026_paper.pdf,,MRI reconstruction; discrete distribution learning; structural priors; coarse-to-fine generation; Discrete Prior Network; k-space consistency; diffusion refinement; anatomy-aware synthesis; anatomical segmentation; topology preservation,2026-06-07
SpaceDrive: Infusing Spatial Awareness into VLM-based Autonomous Driving,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_SpaceDrive_Infusing_Spatial_Awareness_into_VLM-based_Autonomous_Driving_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.10719,spatial-aware VLM-based driving; autonomous driving; 3D spatial relationships; positional encodings; multi-view depth estimation; historical ego-states; spatial reasoning; trajectory coordinate regression; nuScenes dataset; Bench2Drive benchmark,2026-06-07
"CodeMMR: Bridging Natural Language, Code, and Image for Unified Retrieval",https://openaccess.thecvf.com/content/CVPR2026/papers/Geng_CodeMMR_Bridging_Natural_Language_Code_and_Image_for_Unified_Retrieval_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.15663,multimodal code retrieval; code information retrieval; MMCoIR benchmark; CodeMMR; instruction-based multimodal alignment; shared semantic embedding space; retrieval-augmented code generation; visual grounding; natural language-code-image retrieval; nDCG@10,2026-06-07
RemedyGS: Defend 3D Gaussian Splatting Against Computation Cost Attacks,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_RemedyGS_Defend_3D_Gaussian_Splatting_Against_Computation_Cost_Attacks_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22147,3D Gaussian Splatting; 3D reconstruction; computation cost attacks; denial-of-service defense; black-box defense framework; poisoned textures; attacked input image detection; image purification; adversarial training; distributional alignment,2026-06-07
Beyond Explicit Language: Plug-and-Play Visual-to-Linguistic Modeling Toward General Object Tracking,https://openaccess.thecvf.com/content/CVPR2026/papers/Lan_Beyond_Explicit_Language_Plug-and-Play_Visual-to-Linguistic_Modeling_Toward_General_Object_Tracking_CVPR_2026_paper.pdf,,visual object tracking; vision-language models; textual inversion; CLIP embeddings; cross-modal feature alignment; semantic injection; implicit linguistic guidance; template and search regions; multi-modal tracking; plug-and-play module,2026-06-07
Benchmarking Endoscopic Surgical Image Restoration and Beyond,https://openaccess.thecvf.com/content/CVPR2026/papers/Pei_Benchmarking_Endoscopic_Surgical_Image_Restoration_and_Beyond_CVPR_2026_paper.pdf,https://arxiv.org/abs/2505.19161,endoscopic surgical image restoration; SurgClean dataset; surgical scene degradation; desmoking; defogging; desplashing; lens contamination; standardized evaluation benchmark; domain-specific image restoration; structural perception,2026-06-07
EagleVision: A Dual-Stage Framework with BEV-grounding-based Chain-of-Thought for Spatial Intelligence,https://openaccess.thecvf.com/content/CVPR2026/papers/Wan_EagleVision_A_Dual-Stage_Framework_with_BEV-grounding-based_Chain-of-Thought_for_Spatial_Intelligence_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.15160,video-based spatial reasoning; multimodal large language models; geometry-aware frame selection; Bird's-Eye-View grounded reasoning; semantics-perspective-fusion determinantal point process; keyframe selection; iterative spatial Chain-of-Thought; active viewpoint retrieval; reinforcement learning querying policy; spatial grounding reward,2026-06-07
StableMTL: Repurposing Latent Diffusion Models for Multi-Task Learning from Partially Annotated Synthetic Datasets,https://openaccess.thecvf.com/content/CVPR2026/papers/Cao_StableMTL_Repurposing_Latent_Diffusion_Models_for_Multi-Task_Learning_from_Partially_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.08013,multi-task learning; dense prediction; partially annotated synthetic datasets; zero-shot learning; latent diffusion models; latent regression; denoising framework; task encoding; unified latent loss; task-attention mechanism,2026-06-07
VideoChat-M1: Collaborative Policy Planning for Video Understanding via Multi-Agent Reinforcement Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_VideoChat-M1_Collaborative_Policy_Planning_for_Video_Understanding_via_Multi-Agent_Reinforcement_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.19524,VideoChat-M1; video understanding; Multimodal Large Language Models; multi-agent frameworks; tool invocation policy; Collaborative Policy Planning; Policy Communication; Multi-Agent Reinforcement Learning; long video understanding; LongVideoBench,2026-06-07
ArchSym: Detecting 3D-Grounded Architectural Symmetries in the Wild,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_ArchSym_Detecting_3D-Grounded_Architectural_Symmetries_in_the_Wild_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.22202,3D-grounded reflectional symmetries; single-view symmetry detection; in-the-wild RGB images; architectural landmarks; architectural symmetry dataset; SfM reconstructions; cross-view image matching; signed distance maps; predicted scene geometry; monocular scale ambiguity,2026-06-07
Teaching DINOv3 About Partial 3D Geometry: A Self-Supervised Geometry-Aware Approach,https://openaccess.thecvf.com/content/CVPR2026/papers/Ehm_Teaching_DINOv3_About_Partial_3D_Geometry_A_Self-Supervised_Geometry-Aware_Approach_CVPR_2026_paper.pdf,,partial shape matching; 3D vision; DINO features; LoRA-based self-supervised learning; feature descriptors; partial observations; geometry-aware learning; shape boundaries; vision foundation models; partial shape matching pipelines,2026-06-07
Multi-modal Frequency Decomposition Network for Semantic Scene Completion,https://openaccess.thecvf.com/content/CVPR2026/papers/Zuo_Multi-modal_Frequency_Decomposition_Network_for_Semantic_Scene_Completion_CVPR_2026_paper.pdf,,semantic scene completion; RGB-D fusion; frequency decomposition; 3D semantic occupancy; multi-modal feature alignment; Multi-modal Adaptive Frequency Fusion; Frequency Detail Compensation; detail preservation; 3D scene understanding; NYUv2 dataset,2026-06-07
Target-Aware Invertible Encoder with Reconstruction Guidance for Infrared Small Target Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Yan_Target-Aware_Invertible_Encoder_with_Reconstruction_Guidance_for_Infrared_Small_Target_CVPR_2026_paper.pdf,,Infrared small target detection; invertible encoder; reconstruction guidance; information preservation; target-aware enhancement; Target-Aware Reconstruction Modulation; Geometry-Content Tolerance Metric; feature latent; detection-friendly representation learning; cross-dataset generalization,2026-06-07
SD-FSMIS: Adapting Stable Diffusion for Few-Shot Medical Image Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_SD-FSMIS_Adapting_Stable_Diffusion_for_Few-Shot_Medical_Image_Segmentation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.03134,Few-Shot Medical Image Segmentation; Stable Diffusion; Diffusion Models; medical image segmentation; Support-Query Interaction; Visual-to-Textual Condition Translator; visual priors; data-efficient segmentation; cross-domain generalization; large-scale generative models,2026-06-07
The Invisible Gorilla Effect in Out-of-distribution Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Anthony_The_Invisible_Gorilla_Effect_in_Out-of-distribution_Detection_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.20068,out-of-distribution detection; Invisible Gorilla Effect; near-OOD artefacts; regions of interest; visual similarity bias; Mahalanobis Score; AUROC; skin lesion classification; colour-swapped counterfactuals; robust OOD detectors,2026-06-07
Learning by Analogy: A Causal Framework for Compositional Generalization,https://openaccess.thecvf.com/content/CVPR2026/papers/Kong_Learning_by_Analogy_A_Causal_Framework_for_Compositional_Generalization_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.10669,compositional generalization; causal framework; learning by analogy; causal modularity; minimal changes; hierarchical data-generating process; latent hierarchical structure; concept decomposition; text-image pairs; identifiable generative process,2026-06-07
UniPart: Part-Level 3D Generation with Unified 3D Geom-Seg Latents,https://openaccess.thecvf.com/content/CVPR2026/papers/He_UniPart_Part-Level_3D_Generation_with_Unified_3D_Geom-Seg_Latents_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.09435,part-level 3D generation; unified geometry-segmentation latent representation; Geom-Seg VecSet; image-guided 3D generation; latent diffusion framework; joint geometry generation; latent part segmentation; part-level diffusion; dual-space generation; segmentation controllability,2026-06-07
Language-Guided One-Step Diffusion Model for Nighttime Flare Removal,https://openaccess.thecvf.com/content/CVPR2026/papers/Ning_Language-Guided_One-Step_Diffusion_Model_for_Nighttime_Flare_Removal_CVPR_2026_paper.pdf,,Nighttime flare removal; diffusion models; vision-language models; semantic priors; one-step diffusion; image restoration; language guidance; distribution distillation; data synthesis; degradation removal,2026-06-07
Instance-level Visual Active Tracking with Occlusion-Aware Planning,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_Instance-level_Visual_Active_Tracking_with_Occlusion-Aware_Planning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.21453,Visual Active Tracking; instance-level discrimination; occlusion-aware planning; OA-VAT; DINOv3; instance prototypes; Online Prototype Enhancement Tracker; confidence-aware Kalman filter; conditional diffusion; obstacle-avoiding trajectory planning,2026-06-07
GeoDiff4D: Geometry-Aware Diffusion for 4D Head Avatar Reconstruction,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_GeoDiff4D_Geometry-Aware_Diffusion_for_4D_Head_Avatar_Reconstruction_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.24161,4D head avatar reconstruction; geometry-aware diffusion; single portrait image; consistent 3D geometry; surface normals; pose-free expression encoder; implicit expression representations; 3D Gaussian-based avatars; photorealistic rendering; real-time rendering,2026-06-07
LLaVAShield: Safeguarding Multimodal Multi-Turn Dialogues in Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_LLaVAShield_Safeguarding_Multimodal_Multi-Turn_Dialogues_in_Vision-Language_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2509.25896,Vision-Language Models; multimodal multi-turn dialogue safety; LLaVAShield; Multimodal Multi-turn Dialogue Safety dataset; Multimodal Multi-turn Red Teaming; content moderation; risk taxonomy; cross-modal joint risk; harmful input vulnerability; policy adaptation,2026-06-07
Pointing at Parts: Training-Free Few-Shot Grounding in Multimodal LLMs,https://openaccess.thecvf.com/content/CVPR2026/papers/Tsai_Pointing_at_Parts_Training-Free_Few-Shot_Grounding_in_Multimodal_LLMs_CVPR_2026_paper.pdf,,multimodal large language models; part-level pointing; few-shot learning; visual attention maps; spatial grounding; self-supervised visual correspondences; fine-grained reasoning; instance-level pointing; training-free methods; vision-language models,2026-06-07
Evolving Contextual Safety in Multi-Modal Large Language Models via Inference-Time Self-Reflective Memory,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Evolving_Contextual_Safety_in_Multi-Modal_Large_Language_Models_via_Inference-Time_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.15800,contextual safety; multi-modal large language models; MM-SafetyBench++; EchoSafe; inference-time self-reflective memory; safety benchmark; image-text pairs; context-aware reasoning; jailbreak defenses; visual reasoning,2026-06-07
PETAR: Localized Findings Generation with Mask-Aware Vision-Language Modeling for PET Automated Reporting,https://openaccess.thecvf.com/content/CVPR2026/papers/Maqbool_PETAR_Localized_Findings_Generation_with_Mask-Aware_Vision-Language_Modeling_for_PET_CVPR_2026_paper.pdf,https://arxiv.org/abs/2510.27680,3D positron emission tomography; automated PET reporting; PET/CT volumes; lesion-level correspondence; PETARSeg-11K; 3D lesion segmentation masks; mask-aware vision-language modeling; spatially grounded reporting; 3D focal prompt; 3D medical vision-language understanding,2026-06-07
Editprint: General Digital Image Forensics via Editing Fingerprint with Self-Augmentation Training,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_Editprint_General_Digital_Image_Forensics_via_Editing_Fingerprint_with_Self-Augmentation_CVPR_2026_paper.pdf,,digital image forensics; camera source identification; synthetic image detection; social network provenance; PRNU; editing fingerprint; self-augmentation; contrastive learning; image processing history; self-supervised forensics,2026-06-07
When Lines Meet Textures: Spatial-Frequency Aligned Diffusion Features for Cross-Sparsity Correspondence,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhu_When_Lines_Meet_Textures_Spatial-Frequency_Aligned_Diffusion_Features_for_Cross-Sparsity_CVPR_2026_paper.pdf,,Spatial-frequency aligned diffusion features; cross-modal correspondence; sketch-photo matching; diffusion models; frequency domain alignment; sparse line representations; texture-rich imagery; semantic correspondence; dual-domain alignment; diffusion feature learning,2026-06-07
Routing on Demand: DSNet for Efficient Progressive Point Cloud Denoising,https://openaccess.thecvf.com/content/CVPR2026/papers/Cheng_Routing_on_Demand_DSNet_for_Efficient_Progressive_Point_Cloud_Denoising_CVPR_2026_paper.pdf,,Dynamic Skip Net; progressive point cloud denoising; routing on demand; noise discriminator; normal similarity; reverse monotonic decision function; path-selective iteration; cross-stage skipping; geometric fidelity; computational efficiency,2026-06-07
